student_id,year,semester,prev_sem_grade,high_school_marks,entrance_exam_score,parent_edu,study_hours,internet_access,sleep_hours,extra_curricular,attendance,assignment_score,quiz_score,mid_sem_marks,lab_performance,backlogs,pass_fail,final_grade
1,1,1,,88.40288608268365,40.9923669573926,1,4,1,8,0,75.68035367397628,4,87.66830485418221,11.5,99.88778798831305,3,0,3.84
2,4,8,4.6,51.20847389142991,79.29431812706986,0,6,1,10,0,62.92788575642036,5,92.98696501429197,17.0,69.02335841871047,10,1,5.08
3,3,5,7.85,87.51518695607926,99.64965302122214,1,5,1,8,0,89.62507958192228,7,88.28726663742388,25.5,97.66997997761496,1,1,7.64
4,2,4,8.39,93.30809585276508,99.13097817458413,1,7,1,8,0,91.00457828892984,10,95.62515405306752,26.5,82.25881529805963,2,1,8.6
5,1,2,5.51,52.08678889874763,91.8374216869014,1,7,1,8,1,84.70770938610045,7,59.933441885225434,22.5,48.93541003572569,0,1,5.25
6,1,1,,59.281138348913515,99.37388849426841,1,4,1,8,1,69.40373034949437,3,70.52743476554436,30.0,75.42096667444986,3,1,6.38
7,1,2,7.96,49.461320324388836,70.9803891302996,1,5,0,9,1,98.93037755285864,9,41.211067985645194,25.5,47.44808631530428,5,1,6.33
8,3,6,3.73,87.57067203022731,65.95854883624216,1,7,1,9,1,89.48073086785864,7,82.7197525190108,27.0,44.518038290355776,8,1,5.39
9,2,3,7.68,68.0850436112588,99.18134773034447,0,5,0,4,0,88.80562797081791,10,83.12265635153865,6.5,51.76387793237696,4,1,6.58
10,3,5,6.99,65.5184890180692,76.24432603594381,0,4,1,5,1,94.91489855302116,7,46.012223580021626,19.0,87.25221189022938,11,1,6.12
11,1,1,,43.272379640509044,90.5326048126156,1,6,1,6,0,61.04510258260391,1,61.52830858710502,4.0,95.6474803208077,6,0,4.68
12,4,7,5.15,78.89008293877261,64.24120617176881,1,6,1,4,1,84.52568915080003,5,69.01280058748458,28.5,60.00803934643206,15,1,5.22
13,3,6,7.26,80.32339079909039,91.83337641187008,1,7,1,6,1,96.35673817788657,9,95.48212893741123,25.5,99.49511680958454,1,1,8.37
14,1,1,,80.25315656968324,80.02407227818036,1,7,1,8,0,80.6874749007436,9,96.472130636579,26.5,96.19100932659768,0,1,6.69
15,1,1,,76.96591372896128,51.34102404007326,1,7,1,5,0,90.24582856625952,0,83.14952269651583,1.0,53.56646299777359,10,0,3.97
16,1,1,,51.51325298308572,79.19629394996463,1,8,1,8,0,99.5878900055527,3,52.95081711050717,5.5,75.16689993921914,10,0,4.36
17,1,1,,43.22183127636246,58.80433368847338,0,2,1,6,0,83.73641398565994,6,61.380443607982755,25.0,98.90760487608071,0,0,2.11
18,2,3,2.88,48.96591412852114,74.81058218779202,0,3,1,5,1,76.98769559554191,5,54.83817225366483,23.5,90.92714876944187,7,0,4.6
19,2,4,4.81,79.70590928364375,83.26815121594261,1,7,1,8,0,78.14433460297266,2,78.23111854768834,19.0,61.80154496737882,12,0,4.28
20,1,1,,85.10462433837131,81.78499503273169,1,7,1,9,1,93.58961553066449,8,92.94699157791527,29.5,86.12645870324377,0,1,7.25
21,2,4,7.57,44.72101941651387,65.56909290704343,1,5,1,6,1,82.79823045904803,9,40.970149565464915,10.5,89.15524889494233,2,1,5.76
22,1,1,,96.7506645437629,53.063742054821475,1,3,1,10,1,91.5028094610167,0,83.90267634102572,17.0,72.94991180389425,3,1,5.9
23,1,1,,55.40449608049296,46.05332812635154,0,4,0,9,0,76.86550248212058,4,53.77062914438945,19.5,49.806550919848846,5,0,2.01
24,1,1,,76.33421643363582,80.79237243683049,1,8,0,6,1,76.69298604939198,10,88.08255300824975,15.0,59.66995350302869,2,1,6.48
25,2,3,5.92,78.5758724896456,91.66781458268687,1,6,1,9,0,89.83861506096352,7,89.96887456739915,27.5,79.70877864242516,8,1,7.06
26,3,5,7.74,69.1855501015643,48.06742244602387,0,4,0,5,0,85.82074684962652,2,87.81856299627864,3.0,49.18953304835822,2,1,5.47
27,1,1,,57.36430784226476,79.7457984052811,1,8,1,4,1,91.12392132214408,4,64.4867811392619,4.0,81.92297244440503,13,0,4.72
28,2,3,5.07,76.78731842449359,71.86018778457775,1,3,0,4,1,95.48654897647124,8,60.89813511072152,25.0,82.59572568805538,6,1,6.48
29,2,3,7.06,80.97786512132123,78.24345102239796,1,3,1,5,0,70.53623378031561,7,66.1072650789801,18.0,56.24478129768033,6,1,5.78
