semester,high_school_marks,entrance_exam_score,attendance,final_grade,pass_fail,prev_sem_grade
1,79.16727510518925,88.15841874117578,52.55827532227379,46.09189634623825,0,
2,86.80741869644831,82.6907740187091,86.3378028699118,92.30237241817389,1,9.81
2,69.30378547855402,45.31114315378406,89.30652112310909,72.57892214797566,1,7.92
1,74.0284726180684,98.11223990199353,82.91537197530309,74.9949358902918,1,
1,99.5984092955978,88.42933224189295,71.1096116940339,72.4362475786515,1,
1,76.41531692142519,91.43075541992518,98.26513618151999,72.59862570805312,1,
1,66.07610774049178,82.83715795039538,86.46549002386031,52.489895096580156,0,
2,77.57970050279454,45.996214394117175,84.5487075575782,64.84452401693005,1,7.59
2,90.07195778074833,76.17068480718105,57.408886516473686,73.0489827284575,1,5.33
1,67.67469298874971,48.47341260238897,63.407161480596045,41.17912455602345,0,
2,76.00876382155245,56.343074755797375,73.7987984329873,68.40918546536089,1,6.36
1,95.68186220708454,57.83426846251703,73.30907955637785,53.56507987087811,0,
1,77.44506116541267,79.78283150820535,95.82445755577571,69.49983710022804,1,
1,60.72440735283362,66.21975313993725,64.90331005850021,53.68667361673253,0,
2,81.66566031332212,79.61035849881742,72.96522394956445,85.96085392924816,1,8.71
2,78.46636723045661,91.16420474391589,82.80072897957533,78.252025213018,1,5.84
1,60.714957389336554,56.265775225843946,54.27015150813608,43.69601663959608,0,
2,92.52481090485678,48.65136783436918,89.00304616090841,64.35336094423303,1,5.0
1,76.64615992719047,40.41267773317896,58.18081020691381,47.21900574769258,0,
1,97.7892808916564,82.06837566504842,59.74791357493153,58.059658727803026,1,
1,70.74709437539784,88.40161118168436,73.25181671104549,66.50744679136484,1,
2,78.04656014750384,52.60317521075831,81.63575621504958,73.15014856800451,1,8.87
1,95.09843450521521,40.824733240680715,74.10086698884663,46.35143045744204,0,
1,68.45792027986178,86.90943180069613,92.92532272757772,63.62973775753373,1,
2,83.29482252633395,41.786314444427916,94.93363777818189,63.498552839940885,1,5.23
1,81.44385465376482,85.87166767928306,75.68539276076524,60.484130639696154,1,
2,93.80429196021649,65.38709185286382,64.22833550399258,76.06259995131435,1,8.07
1,64.64290562027665,81.1953948095564,82.19782897238068,55.88440561494742,1,
2,92.24838620689732,44.73681789019732,64.25977131422101,61.51731540071483,1,6.15
1,61.81785521365831,69.00444615838879,51.259954741053484,44.725510036764454,0,
1,93.59209142542468,41.71914565465927,70.3231358976036,51.1516417022408,0,
1,91.05651842967987,48.55564864491453,52.27925789743344,44.18232390632312,0,
2,90.93568898515089,49.664450684168116,91.94257921321886,69.52688935117392,1,6.61
2,86.87824561979647,57.73314991811306,79.75585654123019,72.45957633477815,1,9.71
1,92.06148447531959,51.43658998446699,69.14166973842177,44.35454076363666,0,
2,76.60312516031196,53.53018615125776,96.92332313088815,81.55950487757724,1,8.76
2,71.2730271639874,51.544662273228354,85.82635881107024,66.9359718248826,1,7.35
2,72.37024441893142,94.0678743571703,54.11908695392053,74.91797047478221,1,8.11
2,95.07955323895942,64.59878355319401,56.62283954334392,66.40373347253045,1,6.08
2,84.34750111531203,90.16676829566126,85.47013848596657,76.25740371704919,1,7.24
2,62.49270900196743,66.37853923149079,63.30749734648657,60.44788913895474,1,7.09
2,95.54864378450986,60.49696374804009,76.86261360016694,79.52735810865062,1,8.07
1,61.858016508799906,79.25047608844446,68.0237252570777,56.74993019944827,1,
1,81.70784332632994,87.17669196304199,55.142129607873834,49.46326368321614,0,
1,83.22353401112174,85.66047540972352,51.99057197228769,58.57170513869231,1,
2,74.44377772029343,50.17744558189435,85.81471652434192,78.37673519937631,1,9.87
2,98.43669726232245,96.24803126882466,64.31982892137893,96.44812359728307,1,9.36
2,62.44584724190745,83.02716913193754,80.4071471191575,72.61045159625951,1,5.77
2,89.75069389494176,85.46872191352696,50.82180289661636,64.73658608987115,1,6.36
2,77.71482024423563,72.36559087457418,66.30748585596808,69.88201664917615,1,6.65
2,61.21689257573137,54.30354653134059,53.60133328651682,71.58780987133794,1,8.59
2,82.47592412005706,53.33909255285358,74.85491218386846,63.05644197440873,1,8.36
2,94.79249463255692,73.92420351703026,96.53696981812064,90.9791687458555,1,7.89
2,76.44909450526642,90.6874216173737,99.30492567400995,88.71902576459982,1,7.8
1,70.68113080677685,56.13121086293161,70.32082682870093,39.77532745894872,0,
2,88.75156139280102,64.43478503572423,64.73449927196876,68.58649686015828,1,6.43
1,97.11009132780852,66.04125836252553,66.62133460871826,55.28502481367298,1,
1,61.63100566219056,80.57065372452604,65.74592222944479,51.509984726614135,0,
1,75.22493173906321,54.24871340513545,92.54263786610477,49.84629289382632,0,
2,70.77427672721976,78.42084077786421,84.33299369916472,76.06605358331973,1,7.08
2,66.50513185262868,60.26534568961512,56.49464131493777,53.2946055782868,0,8.34
2,90.13552459679343,44.98970398794789,97.64022927819704,79.388146494055,1,8.86
2,66.9764217286566,62.37592794820552,64.62538475145317,68.67525257154954,1,9.17
2,95.159692310346,83.71391269799625,59.23824942106785,85.74135063642402,1,7.09
1,74.65447373174767,43.13547275716142,91.30323422741428,48.93137631059966,0,
2,77.3513760882949,73.10693370364622,95.6961099533152,87.4082377711373,1,9.07
2,79.75195582862985,80.81593772371447,82.25422517649149,91.64949652575707,1,8.59
2,64.41420226231502,92.10792047274211,91.43721328642386,82.42630530603077,1,6.32
2,99.00407604400802,67.13885048580866,95.73454623541161,76.28737695162569,1,9.16
2,95.72826354203367,62.77924095212039,61.509063943562886,68.8732496185597,1,6.31
1,74.71763005208338,58.50809688936904,88.89924857854683,52.28476982108629,0,
1,72.4392928686265,72.32210787716285,60.93569444532696,59.16498518988183,1,
1,75.72390898667041,75.90144905786553,82.0482764049379,60.319177720779955,1,
1,90.79974212394444,53.14412854611147,57.173472850901,56.31678007402216,1,
1,81.67603789513433,87.80088383148234,73.67178296875107,61.24785533046897,1,
2,70.44508577732309,51.56461043274211,53.150769534640524,62.42134204805742,1,7.59
1,83.82554962431377,71.07763166275474,72.90143082919343,54.06373878350712,1,
2,90.94546580023044,95.62072677550483,75.19485991462913,87.7589003841829,1,5.81
2,68.44153320834462,47.14942273242789,95.58872735120714,71.38259145217816,1,8.77
2,97.27610737682413,62.114601630288256,94.79419185337736,91.99768962553149,1,9.54
2,86.65221292513169,40.57997600141094,99.53662181878883,73.52715309627456,1,6.86
2,83.54574678864246,85.0619776922565,63.861250371094116,80.64403286201022,1,5.09
2,94.8468132784389,72.25747604484127,68.88145400700724,81.74484766008116,1,5.98
1,86.77947820792761,45.221033098167325,91.94196683826351,57.67709983193632,1,
2,92.0768156902393,96.53567041951366,66.00465545377757,76.93520523008037,1,6.37
1,62.28347424357259,61.625609628489165,52.582867855732054,43.92669345295002,0,
1,89.75785170290708,66.8604055246251,62.430244230665316,48.82672819396669,0,
1,65.10321211182256,64.99026591423274,58.41392942538564,40.22184068525057,0,
2,74.07620223034644,49.30561637626014,80.09049044284903,76.3321476014234,1,7.99
2,73.79495134772839,93.75606977751413,63.57582888665357,68.21108489811104,1,5.77
2,91.86323760060588,68.87460732261019,77.6581639835695,73.22927112343923,1,5.58
1,68.9438335407781,68.5327622492096,97.46365531228085,54.18809898914475,1,
1,90.46478461314871,60.87648469493,92.55753677129908,60.98643506576622,1,
1,68.0060097697924,43.99388367485337,56.7216713684775,33.37494228296641,0,
1,63.10938547859939,91.93462873747313,56.65910628337617,61.242992646350295,1,
2,92.54544095207322,92.50353785013657,85.43661662824323,83.79520582270273,1,7.29
2,86.22375804979356,64.45590002993087,99.47816409145699,80.49935162958012,1,7.48
2,89.57671654663463,63.48616121337133,68.90153834371552,74.25182929677159,1,9.64
1,87.32027093665428,65.79586464340889,69.8896720464549,56.35033569197119,1,
1,64.63476238100519,86.32074857859942,61.313621500159314,45.99769546984765,0,
1,95.36825853393631,70.33052562339184,80.5188029890846,57.45485175978919,1,
1,92.69798833964767,66.94232607580756,87.37603183732524,55.64066264058557,1,
2,89.17065623346534,85.67628577752163,92.64535438627075,77.30624871673363,1,5.43
2,76.97352559185103,59.024945043577034,93.85193145216522,74.28181622571427,1,6.8
1,74.99482318094816,52.078726469345995,69.80004831928076,45.761791673474555,0,
1,98.54479908357011,75.93871049063263,79.2271556629729,57.10898964597357,1,
1,93.39720947197196,79.66085525483922,67.10663000559475,53.90386152303193,0,
1,86.01302745387747,84.99866790712426,97.23536908362408,71.32419695153867,1,
2,67.48714435953961,67.46284308989395,84.82653968021111,71.89384045674916,1,9.98
1,62.887936359167036,75.82931835941811,95.47976955554722,59.466467674532296,1,
1,93.76681795876789,91.48139626043375,98.33111104480537,70.42900383486672,1,
1,97.70927096540503,67.01525476857341,51.82305254128092,50.082003854782016,0,
2,79.60445906545822,52.927196617338595,68.57706122247943,72.97172316676807,1,8.15
1,89.90437520705004,51.7499850480562,51.77951154032382,47.5062535112421,0,
2,94.25197306864467,42.05172699527133,70.961847074868,73.63337124603183,1,6.07
2,64.9799559307179,44.03111179143408,59.87986924205397,58.77132700242809,1,6.16
2,68.73077931413545,92.35123101077092,64.03759753731705,72.93392455447724,1,5.72
2,74.36773609556727,53.10629469932082,65.11992599144888,58.72213573169938,1,5.98
1,97.61834337411656,87.67469672201142,83.78314511035364,62.61595780004943,1,
2,79.1150922261223,70.39322895288507,71.40878437310752,69.93112800758712,1,8.14
1,98.85580376166558,53.12293677987564,69.22579068531333,48.02374232470675,0,
1,76.07723654436968,44.61876802389798,63.83770659756543,44.68463915743831,0,
2,90.4200801766896,40.427801213260366,89.50133808211424,70.85409377012569,1,8.99
1,91.19502183430495,62.824032938224576,80.8552972214328,45.95919231434335,0,
2,83.54755897344064,65.06417167069375,52.68260820048454,76.08496307133882,1,7.52
2,86.14260610724408,43.5802993409498,85.86358445936679,64.53700743899327,1,5.26
2,65.09683133437596,55.908940133020636,91.70211339633352,68.29465748840636,1,9.87
2,74.8634336365014,56.17816991300056,87.955954779213,72.18978994887875,1,5.57
2,90.03713574066889,79.36772826203212,99.45196208778978,82.5084427197688,1,6.23
2,67.23892255912008,65.1163111403149,67.16150874837757,66.71099452996326,1,5.01
2,72.5002182794081,94.35163382755162,94.85810974138074,87.4464664111209,1,5.59
2,86.2009878562036,62.72143979998013,76.41994917007433,71.87037130588509,1,5.2
1,80.72315064955262,82.56633187803848,92.50663673425184,57.13978607841639,1,
1,94.82999605090046,86.68151458867919,89.70072251329813,63.19735348724845,1,
2,82.33106097615664,73.26731367199835,86.89740041416601,88.73705856936957,1,7.06
2,60.71140565049934,42.956812086864694,89.8496311989536,59.386088389643,1,5.67
2,63.5791353192967,80.71252178744554,59.22559977993558,69.98310082206858,1,5.69
2,77.45793595292452,99.8904842735479,69.00529993579019,78.31838230594873,1,7.46
1,71.547749470828,91.39223342487561,74.13006178307603,58.99422838332828,1,
1,65.50083776583973,70.75928518870317,65.28719787236456,57.56041939054591,1,
2,68.45881280198986,43.098507833365396,57.34372564844135,66.75387385824722,1,9.68
2,98.79702294263774,68.90126611969228,79.05191620856218,76.45981734947229,1,7.57
2,96.77718402233631,44.89549782321562,80.4623155187889,77.47639699464753,1,9.09
2,93.3137237146735,99.31148003955529,62.09174974772327,80.35609829302759,1,7.3
2,62.94473046134727,83.12223697011838,64.4635846862239,78.90952109803946,1,8.56
2,76.54579019381593,49.43094829650241,55.744154553939445,62.16213434756609,1,7.57
2,67.67550198872381,45.24877634505568,52.21661254011407,57.70562549118117,1,5.39
2,97.51267860930247,65.89325739718643,63.78731302925182,67.1101534223049,1,5.6
2,69.27873808631144,75.82904226898884,62.101999638802326,57.09558380546053,1,6.9
2,70.90124676160828,99.09195642069056,71.59667116817383,85.88144491477375,1,8.73
1,97.3550007011162,40.862886764325104,66.03667911557856,44.1276667066743,0,
2,90.11477778014282,81.84148401002624,80.54638113940143,89.26235364199279,1,9.56
2,63.906652725044914,45.46398135924836,99.51630472634328,61.80094979291714,1,7.2
2,89.61219163023927,43.89440177288019,69.30339667258629,72.51575105331338,1,9.53
1,91.05789785998898,88.88026028259935,72.76974526239704,72.13694864720405,1,
1,84.04460046972835,43.92196945386311,83.98486084166726,51.575924454734874,0,
2,95.07434332104687,73.97228941042871,57.858141149587496,67.39534053570407,1,7.24
2,70.7518838466791,51.74650668478817,79.47216103021245,75.34126711333329,1,6.5
2,77.07608349291348,91.60100517457272,60.30824223156036,84.85267868838184,1,8.39
1,71.3936197750987,68.27007393596888,95.9198771040779,49.430552031355795,0,
2,94.33424220636387,90.50051255628932,74.54036247263514,74.71326174023311,1,7.17
2,65.4786049523718,69.76197339648489,87.16577468276355,78.12117927438167,1,9.05
1,86.54149488066842,85.25589840082137,97.68163039148448,64.254511965426,1,
1,74.90754068049256,97.08944261060724,67.16377445322242,68.99978523775484,1,
1,69.5824756266789,50.42569558814463,50.00153594226912,44.92167080732076,0,
2,84.42993979817238,81.82848102954394,94.50781812866973,80.44916404655429,1,7.6
1,97.56270794051585,56.112025364056436,59.28884773493539,52.232801349481605,0,
1,87.69744605297478,97.08668953978551,65.58264583273244,63.80272081776614,1,
2,75.42929311599333,56.032436605394146,56.94208212739926,65.64693724728454,1,6.9
2,86.55066944486799,61.2965178693545,63.266203503233356,77.41687957975347,1,7.35
2,99.29058245422786,82.04391282179591,67.89839127798328,89.84263066764728,1,7.22
1,67.40782271469871,60.85112771882528,99.069166712064,47.893959270195204,0,
2,91.04557614766088,51.80118604761168,83.56649086932951,69.45037022199494,1,6.24
2,61.25828780984104,57.46473288253878,96.27257961392667,68.26405685767818,1,6.88
1,61.72639647802305,94.56727665623453,60.415769500425895,69.50107903291446,1,
2,71.13968013429547,75.35205440583118,93.48084992249346,80.81790071261848,1,7.03
2,67.25948499434794,48.73237187935878,70.7800733432334,61.511788259440834,1,7.78
2,99.95379308738525,77.48436759438749,98.51175312140103,98.07351482497617,1,9.52
1,91.83170677744404,44.25593296802641,69.58712252811391,52.55331067991667,0,
1,89.34457522245609,89.04447083836656,78.47486292592879,53.36924251031415,0,
2,63.768895149900295,98.5179723189928,96.57696650787662,83.98941357440322,1,8.62
2,96.52982477953265,70.85628972655307,98.82078121369142,83.09910104608022,1,6.19
1,73.36953274784243,93.87787881086732,61.71625328252634,61.07850723739737,1,
1,61.25716742746937,94.90540410442259,81.56876630241254,63.7057776794658,1,
2,90.99311066618486,93.22851992164863,50.60841726910166,80.50485196368068,1,7.6
2,66.86051990592088,93.32366371310289,96.46244576215679,80.63192290885938,1,7.47
2,69.39716772116573,70.0612343209375,84.17132952090019,72.99798253356029,1,7.73
2,86.60309759993712,82.99974508802181,67.8949042772824,78.65391547080117,1,6.58
1,92.51604036520311,80.60927793144373,63.43988075150991,62.220346463300615,1,
1,60.373264793083735,94.98523267192397,78.29258937053359,52.88843553374001,0,
1,70.3161130817976,90.12881354453165,62.439589436958855,62.870921085044685,1,
2,96.04756487818406,44.80247944548643,51.527098907486916,71.79721498400116,1,7.89
2,69.0394706264597,58.12293192936041,58.27765898873469,56.103331705112396,1,5.19
2,77.66026973156684,95.39355270917396,81.09120431528873,89.89086256705664,1,8.82
2,91.25960973034287,60.52570034556555,72.95649538877183,87.84706616436411,1,9.31
1,68.81944836280701,98.6204172663366,92.19967359710124,66.35490633934354,1,
