student_id,Digital Logic Design (DLD)_mark,lag_Digital Logic Design (DLD),Electrical and Electronics Engineering (EEE)_mark,lag_Electrical and Electronics Engineering (EEE),Engineering Graphics_mark,lag_Engineering Graphics,Engineering Physics_mark,lag_Engineering Physics,Engineering Mathematics – II_mark,lag_Engineering Mathematics – II
1,15.68,0,3.76,1,9.45,1,23.0,0,10.77,1
2,20.34,0,25.72,0,25.03,0,3.7,1,4.84,1
3,25.58,0,29.45,0,12.77,1,8.69,1,3.47,1
4,5.4,1,7.64,1,20.17,0,17.86,0,25.51,0
5,22.81,0,14.26,1,7.05,1,23.43,0,12.06,1
6,18.94,0,17.86,0,2.13,1,25.15,0,16.69,0
7,0.92,1,22.84,0,11.85,1,15.62,0,24.39,0
8,11.66,1,29.03,0,14.66,1,10.31,1,8.21,1
9,23.64,0,28.38,0,6.73,1,27.3,0,28.49,0
10,4.59,1,13.23,1,11.35,1,13.63,1,19.5,0
11,4.31,1,0.63,1,7.67,1,3.45,1,11.9,1
12,13.72,1,2.18,1,8.94,1,17.75,0,16.64,0
13,23.79,0,9.39,1,14.66,1,29.9,0,21.86,0
14,17.3,0,27.08,0,16.34,0,10.62,1,14.39,1
15,8.34,1,29.53,0,9.41,1,11.45,1,22.96,0
16,3.58,1,7.16,1,15.96,0,21.63,0,9.42,1
17,8.19,1,2.86,1,15.82,0,0.33,1,18.32,0
18,5.78,1,13.32,1,23.14,0,27.14,0,15.2,0
19,10.24,1,13.84,1,22.92,0,27.04,0,28.55,0
20,23.94,0,6.83,1,26.43,0,13.88,1,29.82,0
21,24.14,0,2.35,1,3.61,1,8.77,1,16.26,0
22,25.53,0,0.7,1,6.51,1,7.09,1,23.43,0
23,28.56,0,29.43,0,0.17,1,11.3,1,11.52,1
24,1.67,1,6.29,1,16.41,0,12.76,1,22.35,0
25,13.75,1,6.68,1,13.71,1,2.81,1,18.49,0
26,17.83,0,12.01,1,17.8,0,24.39,0,27.74,0
27,6.25,1,7.42,1,28.12,0,19.81,0,13.22,1
28,0.95,1,6.16,1,7.98,1,5.95,1,10.75,1
29,27.94,0,9.59,1,28.46,0,14.07,1,23.96,0
30,9.86,1,28.18,0,28.68,0,17.74,0,5.17,1
31,12.48,1,19.76,0,22.14,0,17.86,0,26.96,0
32,9.26,1,21.5,0,8.49,1,13.1,1,11.08,1
33,10.26,1,25.81,0,17.59,0,15.6,0,25.88,0
34,10.28,1,12.09,1,28.53,0,15.87,0,19.33,0
35,11.46,1,4.88,1,16.68,0,24.55,0,25.43,0
36,16.81,0,15.98,0,18.69,0,25.87,0,25.49,0
37,7.32,1,17.3,0,1.52,1,14.58,1,22.25,0
38,2.38,1,9.1,1,1.58,1,11.61,1,10.7,1
39,17.68,0,0.65,1,11.37,1,14.69,1,13.93,1
40,10.31,1,21.17,0,12.16,1,13.5,1,3.78,1
41,26.9,0,14.85,1,19.33,0,6.01,1,17.35,0
42,3.2,1,0.23,1,17.37,0,2.16,1,5.21,1
43,13.97,1,11.71,1,10.24,1,13.11,1,15.72,0
44,29.28,0,7.65,1,18.3,0,24.58,0,6.97,1
45,11.73,1,0.3,1,8.9,1,29.66,0,17.54,0
46,27.16,0,9.67,1,16.08,0,5.86,1,7.1,1
47,29.66,0,19.31,0,13.11,1,17.09,0,12.63,1
48,3.89,1,14.0,1,11.89,1,9.78,1,19.32,0
49,2.58,1,17.63,0,25.24,0,18.1,0,14.61,1
50,3.01,1,10.01,1,6.8,1,26.43,0,8.14,1
51,10.82,1,9.99,1,4.44,1,26.34,0,29.07,0
52,9.92,1,24.65,0,13.47,1,10.52,1,2.67,1
53,5.12,1,22.0,0,6.43,1,7.66,1,21.53,0
54,17.67,0,26.25,0,20.96,0,4.28,1,5.44,1
55,8.89,1,20.71,0,15.23,0,25.32,0,4.33,1
56,18.37,0,21.93,0,22.51,0,26.14,0,7.49,1
57,7.21,1,15.15,0,27.61,0,11.32,1,13.65,1
58,2.37,1,17.76,0,6.95,1,7.66,1,20.09,0
59,7.99,1,20.53,0,1.5,1,5.69,1,14.96,1
60,6.25,1,10.44,1,1.7,1,23.81,0,27.32,0
61,10.62,1,11.5,1,5.23,1,16.56,0,29.85,0
62,17.52,0,29.24,0,21.2,0,29.55,0,9.4,1
63,0.34,1,5.04,1,5.43,1,6.08,1,19.9,0
64,26.19,0,6.94,1,26.85,0,3.3,1,28.78,0
65,23.39,0,22.48,0,9.89,1,20.17,0,19.44,0
66,8.82,1,2.56,1,26.62,0,25.11,0,4.29,1
67,5.34,1,2.49,1,24.22,0,29.69,0,9.99,1
68,7.64,1,28.43,0,2.24,1,6.41,1,20.55,0
69,10.46,1,24.67,0,11.44,1,15.83,0,24.78,0
70,9.56,1,26.99,0,13.29,1,12.97,1,10.69,1
71,7.32,1,19.89,0,1.4,1,23.26,0,11.92,1
72,26.92,0,20.82,0,29.19,0,2.03,1,8.41,1
73,12.59,1,26.16,0,8.48,1,6.37,1,9.5,1
74,2.77,1,21.12,0,11.96,1,20.55,0,2.5,1
75,26.36,0,24.67,0,19.18,0,20.75,0,2.34,1
76,7.45,1,6.07,1,1.1,1,22.7,0,29.61,0
77,7.01,1,14.97,1,28.07,0,2.04,1,10.11,1
78,8.98,1,9.35,1,22.22,0,4.97,1,5.23,1
79,4.28,1,2.76,1,23.79,0,20.46,0,4.89,1
80,20.16,0,2.9,1,3.18,1,13.61,1,19.66,0
81,20.94,0,26.23,0,13.11,1,6.76,1,8.07,1
82,20.63,0,11.22,1,1.86,1,29.21,0,5.81,1
83,28.72,0,28.59,0,11.4,1,5.82,1,28.32,0
84,29.84,0,22.22,0,27.07,0,1.86,1,12.52,1
85,8.74,1,22.87,0,24.58,0,23.17,0,15.63,0
86,23.46,0,12.44,1,28.15,0,29.02,0,27.49,0
87,9.41,1,12.84,1,8.25,1,4.76,1,1.15,1
88,21.77,0,2.12,1,8.36,1,19.86,0,19.32,0
89,7.83,1,20.89,0,26.48,0,11.84,1,26.17,0
90,7.95,1,3.76,1,20.18,0,29.68,0,18.71,0
91,28.13,0,1.33,1,20.06,0,19.54,0,25.77,0
92,27.51,0,14.39,1,26.46,0,13.95,1,25.82,0
93,1.19,1,23.57,0,14.75,1,23.63,0,20.81,0
94,17.83,0,27.77,0,4.93,1,3.8,1,6.84,1
95,13.48,1,17.11,0,10.35,1,19.34,0,25.36,0
96,21.89,0,3.16,1,4.39,1,2.34,1,24.71,0
97,29.41,0,9.35,1,1.5,1,12.32,1,23.51,0
98,6.37,1,28.59,0,17.58,0,14.04,1,26.27,0
99,12.65,1,14.13,1,25.17,0,14.14,1,10.04,1
