student_id,Object Oriented Programming through Java_mark,lag_Object Oriented Programming through Java,Operating Systems_mark,lag_Operating Systems,Computer Organization and Architecture_mark,lag_Computer Organization and Architecture,Data Structures_mark,lag_Data Structures,"Probability, Statistics and Queuing Theory_mark","lag_Probability, Statistics and Queuing Theory"
1,29.25,0,29.67,0,3.36,1,15.92,0,4.97,1
2,19.97,0,29.78,0,0.2,1,5.26,1,23.75,0
3,7.44,1,1.0,1,20.29,0,14.16,1,29.06,0
4,1.2,1,19.8,0,18.87,0,8.11,1,0.87,1
5,4.56,1,11.66,1,7.59,1,18.28,0,11.84,1
6,3.98,1,15.12,0,13.01,1,0.22,1,10.24,1
7,7.5,1,25.96,0,19.14,0,19.64,0,9.97,1
8,11.24,1,5.4,1,12.58,1,21.71,0,4.64,1
9,8.77,1,16.18,0,4.85,1,9.99,1,20.7,0
10,20.03,0,23.64,0,8.93,1,0.2,1,24.65,0
11,17.99,0,23.72,0,17.05,0,3.06,1,16.88,0
12,21.84,0,7.25,1,12.51,1,2.85,1,22.98,0
13,25.61,0,29.07,0,15.57,0,9.33,1,2.66,1
14,16.87,0,0.26,1,0.55,1,22.07,0,0.9,1
15,18.74,0,26.14,0,1.3,1,12.14,1,2.32,1
16,16.18,0,11.36,1,15.65,0,3.51,1,14.62,1
17,24.63,0,14.63,1,25.49,0,18.03,0,18.78,0
18,23.59,0,25.22,0,1.04,1,2.95,1,27.96,0
19,8.32,1,28.97,0,12.68,1,20.77,0,15.67,0
20,22.73,0,13.17,1,4.38,1,28.25,0,19.54,0
21,6.52,1,20.98,0,25.76,0,16.44,0,12.6,1
22,29.18,0,29.88,0,8.16,1,25.52,0,14.25,1
23,24.21,0,4.76,1,16.36,0,29.91,0,7.6,1
24,23.33,0,16.03,0,12.33,1,23.19,0,4.54,1
25,29.61,0,9.45,1,7.78,1,27.78,0,22.66,0
26,14.81,1,25.41,0,27.69,0,15.96,0,24.17,0
27,18.53,0,1.03,1,29.69,0,19.39,0,20.16,0
28,11.92,1,21.12,0,16.08,0,5.2,1,17.32,0
29,28.3,0,5.31,1,20.41,0,13.95,1,13.97,1
30,15.27,0,5.34,1,10.8,1,27.97,0,14.31,1
31,12.39,1,15.59,0,25.65,0,9.24,1,3.0,1
32,4.29,1,23.61,0,27.21,0,13.66,1,22.42,0
33,12.16,1,15.21,0,14.17,1,23.67,0,19.31,0
34,27.81,0,23.28,0,26.44,0,5.55,1,12.54,1
35,10.48,1,1.71,1,17.94,0,1.19,1,28.0,0
36,23.59,0,24.83,0,4.73,1,0.98,1,8.28,1
37,15.19,0,13.83,1,15.15,0,19.67,0,10.46,1
38,3.54,1,1.94,1,5.24,1,22.48,0,23.46,0
39,21.12,0,6.01,1,6.31,1,7.28,1,8.17,1
40,14.44,1,9.66,1,16.86,0,8.85,1,21.6,0
41,8.15,1,5.23,1,8.98,1,28.38,0,13.69,1
42,8.52,1,21.95,0,9.06,1,10.72,1,28.45,0
43,15.9,0,3.18,1,3.09,1,1.9,1,14.67,1
44,26.94,0,17.41,0,15.1,0,2.37,1,8.89,1
45,17.9,0,11.61,1,5.37,1,18.69,0,8.73,1
46,3.8,1,15.87,0,8.93,1,28.72,0,27.51,0
47,24.83,0,3.78,1,3.36,1,19.44,0,18.0,0
48,5.83,1,28.56,0,25.29,0,2.68,1,8.8,1
49,25.57,0,28.82,0,23.22,0,12.2,1,24.11,0
50,22.64,0,23.39,0,7.3,1,2.19,1,7.89,1
51,16.43,0,10.82,1,29.4,0,25.72,0,5.77,1
52,2.7,1,1.82,1,19.58,0,4.08,1,20.87,0
53,7.68,1,29.75,0,13.41,1,20.3,0,18.34,0
54,14.09,1,17.29,0,4.12,1,29.11,0,4.83,1
55,21.07,0,1.94,1,5.89,1,1.75,1,20.89,0
56,23.75,0,27.19,0,15.22,0,17.72,0,22.56,0
57,17.64,0,2.82,1,15.29,0,13.32,1,0.03,1
58,27.61,0,2.13,1,27.98,0,14.54,1,15.7,0
59,22.22,0,7.21,1,15.31,0,25.73,0,10.76,1
60,28.97,0,20.16,0,2.19,1,25.29,0,26.46,0
61,4.56,1,23.06,0,12.07,1,18.15,0,24.59,0
62,17.94,0,21.52,0,21.01,0,3.03,1,27.48,0
63,10.48,1,26.13,0,23.68,0,18.04,0,22.35,0
64,15.1,0,18.7,0,4.06,1,6.76,1,3.15,1
65,23.09,0,8.46,1,19.23,0,21.27,0,27.1,0
66,16.1,0,27.79,0,5.14,1,14.87,1,6.0,1
67,23.7,0,26.89,0,14.22,1,17.43,0,4.55,1
68,14.43,1,12.93,1,7.95,1,29.76,0,15.11,0
69,2.59,1,27.32,0,26.54,0,4.94,1,1.5,1
70,22.21,0,5.61,1,1.93,1,29.61,0,1.16,1
71,0.48,1,26.18,0,1.67,1,21.94,0,26.62,0
72,12.99,1,24.53,0,10.76,1,11.6,1,18.55,0
73,0.09,1,5.01,1,2.02,1,21.16,0,8.67,1
74,28.28,0,22.41,0,24.61,0,4.24,1,12.26,1
75,23.46,0,14.15,1,11.39,1,4.74,1,16.47,0
76,27.23,0,7.61,1,18.35,0,22.04,0,29.7,0
77,0.59,1,0.97,1,12.84,1,26.66,0,22.98,0
78,7.88,1,6.66,1,7.42,1,1.61,1,17.2,0
79,27.75,0,27.69,0,17.85,0,16.63,0,2.99,1
80,13.31,1,21.05,0,3.83,1,4.14,1,12.78,1
81,5.23,1,24.53,0,6.56,1,12.92,1,15.09,0
82,23.64,0,4.73,1,8.27,1,0.08,1,3.95,1
