student_id,Data Warehousing and Data Mining_mark,lag_Data Warehousing and Data Mining,Compiler Design_mark,lag_Compiler Design,Computer Networks_mark,lag_Computer Networks,Open Elective–I_mark,lag_Open Elective–I,Elective-I_mark,lag_Elective-I
1,17.68,0,9.13,1,21.54,0,15.99,0,14.33,1
2,16.13,0,1.76,1,19.21,0,25.73,0,22.58,0
3,11.36,1,9.06,1,12.75,1,5.23,1,4.8,1
4,17.35,0,5.86,1,24.39,0,26.41,0,7.22,1
5,12.18,1,13.95,1,28.11,0,23.2,0,0.82,1
6,17.76,0,24.89,0,9.96,1,24.91,0,20.0,0
7,1.23,1,7.5,1,11.98,1,5.37,1,11.37,1
8,9.77,1,17.77,0,28.74,0,14.86,1,17.86,0
9,0.28,1,23.47,0,29.86,0,11.25,1,14.08,1
10,17.8,0,28.08,0,21.37,0,16.59,0,16.78,0
11,1.95,1,24.9,0,7.72,1,29.09,0,8.55,1
12,17.08,0,10.07,1,26.66,0,22.75,0,9.09,1
13,11.69,1,18.43,0,7.1,1,23.27,0,8.84,1
14,12.04,1,12.09,1,9.71,1,12.55,1,14.19,1
15,8.04,1,28.56,0,16.56,0,24.96,0,20.83,0
16,25.46,0,18.71,0,1.06,1,26.73,0,25.16,0
17,2.08,1,13.93,1,3.61,1,20.22,0,16.44,0
18,17.5,0,7.57,1,8.96,1,26.95,0,13.56,1
19,22.08,0,23.75,0,26.05,0,28.59,0,7.16,1
20,14.79,1,7.53,1,18.97,0,24.83,0,5.37,1
21,15.68,0,19.87,0,10.49,1,6.33,1,10.27,1
22,14.34,1,20.66,0,6.87,1,4.98,1,25.98,0
23,24.71,0,6.1,1,12.99,1,4.74,1,0.71,1
24,4.64,1,22.86,0,6.82,1,6.06,1,20.44,0
25,18.2,0,22.73,0,15.13,0,27.65,0,24.59,0
26,27.94,0,0.62,1,4.43,1,27.29,0,23.23,0
27,3.62,1,14.33,1,7.69,1,14.25,1,4.61,1
28,7.21,1,29.39,0,22.14,0,29.81,0,25.8,0
29,29.95,0,9.89,1,21.39,0,29.19,0,3.46,1
30,16.45,0,25.76,0,27.48,0,14.12,1,20.47,0
31,3.1,1,23.67,0,27.27,0,25.49,0,23.24,0
32,17.71,0,15.77,0,9.19,1,26.92,0,11.13,1
33,22.21,0,12.77,1,15.62,0,20.34,0,24.04,0
34,9.03,1,29.7,0,23.12,0,4.22,1,7.02,1
35,23.87,0,19.24,0,18.22,0,7.68,1,9.16,1
36,20.92,0,21.89,0,15.28,0,9.88,1,13.3,1
37,21.02,0,13.79,1,15.9,0,8.58,1,26.11,0
38,15.85,0,8.15,1,22.97,0,26.36,0,7.5,1
39,27.28,0,9.66,1,11.65,1,19.95,0,0.73,1
40,3.33,1,8.91,1,5.26,1,0.5,1,23.36,0
41,24.12,0,20.67,0,14.6,1,15.31,0,25.68,0
42,2.94,1,5.98,1,24.24,0,27.03,0,11.98,1
43,12.5,1,21.03,0,19.34,0,3.68,1,6.68,1
44,26.26,0,27.83,0,12.56,1,24.01,0,21.73,0
45,19.99,0,15.53,0,14.89,1,4.13,1,4.93,1
46,17.4,0,27.61,0,1.64,1,13.44,1,24.32,0
47,28.91,0,7.18,1,16.58,0,21.43,0,16.88,0
48,29.95,0,23.47,0,22.84,0,13.24,1,9.82,1
49,23.42,0,24.34,0,20.41,0,26.9,0,5.01,1
50,11.42,1,29.52,0,4.43,1,16.1,0,8.98,1
51,27.78,0,4.42,1,0.97,1,1.51,1,11.11,1
52,2.15,1,0.09,1,27.34,0,22.94,0,24.69,0
53,10.74,1,7.03,1,12.95,1,23.53,0,0.68,1
54,26.72,0,16.69,0,1.7,1,4.56,1,7.24,1
55,6.65,1,0.48,1,25.7,0,20.76,0,2.56,1
56,24.94,0,17.56,0,5.7,1,24.53,0,27.01,0
57,2.28,1,26.1,0,26.97,0,27.91,0,3.76,1
58,0.32,1,18.48,0,15.39,0,2.41,1,23.34,0
59,8.79,1,6.89,1,17.3,0,10.76,1,7.13,1
60,27.16,0,3.54,1,12.1,1,23.7,0,26.86,0
61,28.98,0,3.67,1,21.24,0,25.24,0,3.8,1
62,5.85,1,4.79,1,5.06,1,3.85,1,25.63,0
63,0.78,1,5.74,1,8.47,1,2.31,1,24.77,0
64,17.22,0,24.14,0,1.17,1,18.94,0,28.22,0
65,24.14,0,0.51,1,25.0,0,21.06,0,13.46,1
66,13.81,1,15.23,0,14.48,1,11.68,1,29.75,0
67,2.53,1,8.19,1,3.65,1,0.55,1,18.1,0
68,2.44,1,18.95,0,4.69,1,27.52,0,22.51,0
69,9.53,1,18.85,0,22.42,0,25.19,0,20.79,0
70,18.71,0,16.37,0,22.36,0,0.4,1,21.91,0
71,24.78,0,16.23,0,10.66,1,23.62,0,7.48,1
72,20.99,0,15.36,0,7.12,1,20.73,0,21.47,0
73,20.08,0,0.46,1,28.48,0,12.44,1,2.83,1
74,26.82,0,28.92,0,23.97,0,20.39,0,24.72,0
75,11.89,1,11.03,1,28.31,0,11.37,1,25.84,0
76,21.4,0,10.97,1,14.65,1,21.21,0,27.13,0
77,9.21,1,22.54,0,2.41,1,5.8,1,5.12,1
78,28.05,0,18.92,0,10.84,1,28.35,0,22.68,0
79,14.38,1,6.69,1,5.61,1,22.46,0,17.5,0
80,7.53,1,12.34,1,18.13,0,7.06,1,12.39,1
81,13.95,1,3.78,1,15.05,0,9.92,1,27.75,0
82,15.37,0,22.48,0,0.46,1,12.33,1,12.63,1
83,13.33,1,20.74,0,12.66,1,5.31,1,27.95,0
84,12.19,1,4.46,1,3.25,1,14.35,1,16.57,0
85,18.21,0,19.7,0,25.12,0,15.91,0,12.34,1
86,5.36,1,4.07,1,7.96,1,13.52,1,26.47,0
87,22.55,0,19.58,0,11.87,1,22.09,0,8.18,1
88,22.42,0,7.63,1,16.57,0,24.78,0,1.53,1
89,26.39,0,28.7,0,22.28,0,28.48,0,6.46,1
90,20.49,0,18.7,0,1.59,1,5.82,1,8.11,1
91,23.87,0,0.57,1,22.25,0,7.39,1,19.18,0
92,4.31,1,15.2,0,6.75,1,21.79,0,14.97,1
93,7.51,1,20.27,0,13.96,1,8.8,1,12.12,1
94,21.22,0,3.5,1,14.85,1,2.81,1,22.79,0
95,29.95,0,28.28,0,19.43,0,15.25,0,29.88,0
96,23.95,0,22.08,0,18.15,0,1.06,1,27.47,0
97,27.14,0,12.57,1,11.19,1,15.7,0,16.88,0
98,14.79,1,26.19,0,26.99,0,27.84,0,6.35,1
99,24.39,0,1.88,1,13.13,1,21.51,0,18.88,0
100,21.31,0,20.05,0,17.99,0,10.63,1,13.15,1
101,20.19,0,4.69,1,10.31,1,10.04,1,16.57,0
102,9.51,1,8.18,1,27.97,0,3.35,1,12.78,1
103,2.83,1,8.87,1,7.39,1,29.79,0,27.81,0
104,4.13,1,23.7,0,13.38,1,26.64,0,18.89,0
