student_id,Object-Oriented Software Engineering_mark,lag_Object-Oriented Software Engineering,Web Technologies_mark,lag_Web Technologies,Artificial Intelligence_mark,lag_Artificial Intelligence,Open Elective-II_mark,lag_Open Elective-II,Elective-II_mark,lag_Elective-II
1,26.41,0,3.06,1,17.38,0,17.05,0,16.61,0
2,13.61,1,24.56,0,20.76,0,27.14,0,28.32,0
3,5.06,1,12.9,1,28.39,0,26.91,0,21.81,0
4,7.7,1,22.28,0,20.51,0,19.17,0,4.63,1
5,11.28,1,22.14,0,6.77,1,16.23,0,8.46,1
6,27.35,0,21.99,0,5.75,1,16.07,0,17.94,0
7,2.58,1,14.18,1,5.16,1,8.86,1,7.26,1
8,22.26,0,11.3,1,0.37,1,28.6,0,13.97,1
9,28.94,0,12.64,1,7.67,1,17.7,0,19.05,0
10,26.26,0,21.65,0,27.05,0,20.47,0,1.56,1
11,19.04,0,29.97,0,11.63,1,12.1,1,5.06,1
12,18.49,0,7.19,1,21.48,0,19.3,0,2.25,1
13,9.19,1,11.23,1,9.5,1,18.63,0,15.88,0
14,23.54,0,21.75,0,3.06,1,25.46,0,19.38,0
15,6.34,1,26.17,0,2.53,1,22.01,0,27.48,0
16,0.71,1,6.04,1,5.14,1,1.25,1,17.39,0
17,27.76,0,28.53,0,24.38,0,10.16,1,27.97,0
18,29.37,0,0.27,1,2.17,1,3.89,1,13.82,1
19,26.62,0,17.74,0,28.62,0,29.33,0,6.38,1
20,26.52,0,11.19,1,8.09,1,17.48,0,20.9,0
21,20.3,0,1.74,1,17.13,0,14.24,1,8.43,1
22,16.41,0,9.04,1,10.34,1,17.82,0,15.39,0
23,5.19,1,18.63,0,23.62,0,13.17,1,21.64,0
24,4.73,1,8.13,1,1.23,1,0.71,1,19.85,0
25,21.38,0,28.39,0,5.71,1,14.31,1,15.26,0
26,18.01,0,21.17,0,28.63,0,19.32,0,29.47,0
27,11.09,1,24.27,0,21.23,0,14.17,1,24.98,0
28,24.44,0,25.25,0,20.71,0,26.47,0,11.66,1
29,16.6,0,1.95,1,12.23,1,13.77,1,4.43,1
30,16.26,0,2.19,1,26.19,0,8.65,1,25.38,0
31,24.23,0,17.76,0,9.37,1,18.56,0,3.9,1
32,0.0,1,17.58,0,29.08,0,1.37,1,3.19,1
33,27.82,0,25.03,0,0.18,1,15.01,0,22.5,0
34,12.17,1,5.22,1,3.41,1,22.03,0,25.86,0
35,9.97,1,1.44,1,26.98,0,26.67,0,3.12,1
36,28.42,0,0.83,1,27.69,0,15.59,0,0.94,1
37,27.15,0,26.22,0,27.74,0,23.06,0,7.5,1
38,17.61,0,12.18,1,19.42,0,24.23,0,12.54,1
39,14.68,1,2.31,1,13.66,1,29.0,0,10.18,1
40,28.23,0,17.74,0,28.85,0,2.52,1,16.93,0
41,7.07,1,21.84,0,25.03,0,16.12,0,18.77,0
42,14.29,1,5.91,1,25.9,0,12.81,1,19.11,0
43,10.13,1,20.5,0,20.11,0,6.91,1,24.36,0
44,21.18,0,29.29,0,20.23,0,5.77,1,1.35,1
45,17.19,0,2.24,1,22.81,0,11.4,1,15.53,0
46,11.36,1,20.49,0,29.84,0,22.38,0,27.8,0
47,16.98,0,19.08,0,7.32,1,14.78,1,17.73,0
48,17.85,0,28.73,0,24.86,0,21.37,0,15.4,0
49,21.33,0,5.1,1,25.26,0,4.45,1,13.48,1
50,3.54,1,0.59,1,15.88,0,3.48,1,26.0,0
51,25.9,0,3.2,1,5.24,1,29.39,0,5.47,1
52,25.29,0,21.37,0,2.84,1,13.37,1,13.83,1
53,17.31,0,29.23,0,4.61,1,18.37,0,1.05,1
54,10.01,1,23.51,0,19.6,0,0.69,1,26.39,0
55,28.82,0,18.42,0,22.2,0,17.38,0,22.13,0
56,9.04,1,10.04,1,1.83,1,0.3,1,27.79,0
57,15.45,0,16.76,0,3.27,1,18.49,0,29.4,0
58,3.12,1,25.2,0,24.14,0,29.02,0,26.04,0
59,1.88,1,27.32,0,6.79,1,19.55,0,6.02,1
60,4.77,1,8.23,1,11.72,1,4.28,1,13.22,1
61,1.18,1,22.05,0,0.03,1,22.74,0,18.65,0
62,25.88,0,3.67,1,4.82,1,6.77,1,25.51,0
63,12.2,1,19.96,0,22.36,0,21.98,0,14.57,1
64,10.83,1,28.18,0,18.32,0,3.22,1,12.09,1
65,10.83,1,11.43,1,16.62,0,20.85,0,5.61,1
66,22.29,0,17.48,0,24.36,0,3.35,1,23.67,0
67,20.99,0,25.56,0,9.58,1,20.45,0,0.61,1
68,21.38,0,10.4,1,14.8,1,17.11,0,2.21,1
69,10.33,1,9.86,1,3.34,1,3.19,1,1.34,1
70,2.15,1,17.84,0,12.54,1,28.72,0,27.09,0
71,28.11,0,4.94,1,22.04,0,7.11,1,27.33,0
72,18.56,0,17.19,0,4.28,1,18.97,0,23.6,0
73,6.64,1,2.37,1,7.18,1,14.73,1,3.65,1
74,0.26,1,9.2,1,28.76,0,28.89,0,10.34,1
75,13.0,1,22.75,0,26.5,0,24.21,0,1.01,1
76,18.86,0,8.33,1,11.46,1,15.42,0,3.1,1
77,2.03,1,25.84,0,20.79,0,10.59,1,1.88,1
78,11.79,1,0.25,1,19.68,0,6.24,1,15.38,0
79,3.08,1,19.16,0,10.95,1,24.25,0,24.34,0
80,19.94,0,0.55,1,8.93,1,22.19,0,1.01,1
81,5.25,1,14.7,1,9.48,1,2.05,1,28.02,0
82,12.58,1,20.14,0,25.3,0,12.92,1,18.76,0
83,11.44,1,17.51,0,13.17,1,20.02,0,20.93,0
84,23.38,0,24.42,0,19.25,0,29.47,0,16.14,0
85,7.68,1,17.54,0,25.5,0,1.61,1,21.78,0
86,18.97,0,9.78,1,25.53,0,12.64,1,14.08,1
87,13.0,1,5.7,1,0.7,1,20.4,0,4.37,1
88,12.53,1,26.38,0,11.94,1,18.69,0,19.91,0
89,14.04,1,23.06,0,1.53,1,28.58,0,23.94,0
90,9.91,1,3.62,1,13.34,1,15.55,0,16.59,0
91,5.96,1,22.57,0,21.38,0,25.95,0,10.68,1
92,22.17,0,12.75,1,12.82,1,15.94,0,22.31,0
93,25.68,0,25.38,0,22.89,0,23.6,0,9.32,1
94,15.15,0,21.99,0,1.5,1,9.7,1,21.07,0
95,29.14,0,3.99,1,12.56,1,29.63,0,23.35,0
96,3.69,1,25.91,0,12.7,1,21.19,0,24.93,0
97,22.25,0,19.74,0,18.25,0,12.91,1,29.44,0
98,0.23,1,8.42,1,7.2,1,8.3,1,14.89,1
99,23.47,0,12.32,1,28.48,0,17.41,0,0.49,1
100,14.64,1,15.96,0,20.96,0,4.41,1,13.59,1
101,15.54,0,3.13,1,7.05,1,3.44,1,13.88,1
102,25.33,0,6.22,1,7.38,1,16.11,0,11.78,1
103,16.83,0,8.95,1,23.36,0,23.19,0,2.51,1
104,27.51,0,10.33,1,10.61,1,16.46,0,24.44,0
105,14.93,1,4.37,1,3.79,1,29.87,0,4.82,1
106,5.04,1,6.73,1,2.91,1,16.04,0,20.68,0
107,23.02,0,18.96,0,9.98,1,0.68,1,19.51,0
108,26.38,0,21.68,0,19.1,0,19.38,0,26.98,0
109,13.19,1,1.26,1,10.36,1,14.25,1,25.02,0
110,16.1,0,16.53,0,9.51,1,14.94,1,21.19,0
111,24.17,0,17.33,0,9.42,1,6.55,1,9.25,1
112,25.59,0,21.12,0,15.08,0,6.58,1,27.2,0
113,17.73,0,11.48,1,15.71,0,3.73,1,16.82,0
114,26.23,0,29.3,0,9.63,1,25.93,0,19.64,0
