student_id,Open Elective-IV_mark,lag_Open Elective-IV,Open Elective-III_mark,lag_Open Elective-III,Elective-V_mark,lag_Elective-V,Elective–IV_mark,lag_Elective–IV,Elective -III_mark,lag_Elective -III
1,23.21,0,23.56,0,14.31,1,25.67,0,15.02,0
2,17.72,0,1.17,1,21.88,0,10.03,1,7.26,1
3,22.36,0,25.84,0,18.83,0,20.39,0,14.61,1
4,6.97,1,0.52,1,4.28,1,14.02,1,22.41,0
5,23.99,0,8.13,1,4.73,1,8.21,1,18.93,0
6,23.84,0,20.11,0,0.02,1,4.66,1,13.28,1
7,25.77,0,21.05,0,0.98,1,15.3,0,3.77,1
8,6.21,1,15.06,0,3.33,1,12.91,1,10.97,1
9,28.62,0,7.26,1,26.99,0,25.32,0,15.86,0
10,5.77,1,14.36,1,6.47,1,14.01,1,2.61,1
11,26.35,0,24.96,0,13.25,1,21.96,0,6.64,1
12,7.4,1,21.35,0,3.71,1,25.04,0,10.68,1
13,10.21,1,0.4,1,12.2,1,2.05,1,12.04,1
14,28.41,0,14.79,1,21.42,0,1.3,1,9.46,1
15,24.42,0,20.3,0,6.51,1,15.97,0,10.75,1
16,21.51,0,0.32,1,25.13,0,7.5,1,21.26,0
17,22.61,0,14.74,1,5.38,1,14.75,1,24.24,0
18,12.3,1,26.85,0,28.78,0,4.5,1,14.1,1
19,27.69,0,27.12,0,28.21,0,23.01,0,22.79,0
20,15.62,0,8.09,1,26.74,0,5.77,1,5.72,1
21,20.25,0,5.54,1,28.12,0,24.32,0,2.18,1
22,15.97,0,16.47,0,9.76,1,0.88,1,8.54,1
23,8.27,1,25.5,0,19.68,0,11.47,1,19.32,0
24,4.33,1,7.51,1,17.91,0,28.22,0,9.57,1
25,27.81,0,0.42,1,27.83,0,13.01,1,4.34,1
26,8.77,1,4.98,1,23.69,0,2.23,1,6.02,1
27,14.83,1,8.78,1,0.37,1,2.89,1,18.52,0
28,27.17,0,20.13,0,12.2,1,2.95,1,24.69,0
29,11.92,1,0.68,1,7.46,1,6.71,1,2.66,1
30,3.77,1,20.8,0,10.01,1,5.21,1,9.7,1
31,13.92,1,19.97,0,2.75,1,20.9,0,10.86,1
32,10.17,1,13.12,1,2.35,1,26.2,0,27.32,0
33,21.44,0,12.51,1,11.84,1,27.47,0,1.34,1
34,28.82,0,3.45,1,9.21,1,23.59,0,1.34,1
35,1.08,1,4.47,1,10.73,1,29.85,0,29.49,0
36,14.84,1,9.27,1,28.36,0,14.42,1,4.7,1
37,3.14,1,15.64,0,7.83,1,13.8,1,5.41,1
38,12.23,1,17.27,0,12.74,1,6.34,1,15.4,0
39,17.88,0,22.51,0,18.16,0,13.4,1,27.59,0
40,24.73,0,7.42,1,9.2,1,4.98,1,25.83,0
41,14.49,1,21.25,0,26.86,0,3.61,1,1.28,1
42,26.24,0,27.67,0,13.48,1,16.16,0,29.8,0
43,27.56,0,12.03,1,8.56,1,2.85,1,13.82,1
44,22.74,0,21.73,0,28.49,0,19.72,0,10.83,1
45,11.77,1,22.99,0,3.86,1,2.06,1,24.5,0
46,21.2,0,1.62,1,6.82,1,20.13,0,16.02,0
47,14.05,1,21.42,0,12.96,1,5.5,1,23.5,0
48,2.32,1,2.33,1,20.56,0,7.55,1,0.53,1
49,5.35,1,10.11,1,11.75,1,1.04,1,12.93,1
50,13.86,1,3.7,1,19.14,0,19.67,0,14.85,1
51,20.16,0,12.08,1,9.36,1,4.88,1,20.46,0
52,16.15,0,14.68,1,13.68,1,16.56,0,14.2,1
53,16.02,0,4.61,1,1.7,1,1.48,1,11.6,1
54,9.59,1,10.28,1,0.56,1,13.66,1,13.66,1
55,17.01,0,6.34,1,9.53,1,6.22,1,0.34,1
56,0.91,1,12.22,1,5.26,1,22.03,0,25.1,0
57,17.43,0,26.75,0,24.27,0,18.04,0,25.89,0
58,8.73,1,19.72,0,2.25,1,13.43,1,6.92,1
59,18.27,0,6.37,1,2.29,1,11.76,1,2.35,1
60,7.02,1,22.81,0,11.55,1,25.65,0,17.39,0
61,13.5,1,23.9,0,4.3,1,7.33,1,13.72,1
62,0.66,1,7.53,1,2.89,1,24.41,0,22.77,0
63,23.36,0,16.13,0,19.96,0,5.84,1,17.62,0
64,24.77,0,21.7,0,4.59,1,25.23,0,15.73,0
65,8.75,1,21.37,0,18.15,0,18.05,0,22.41,0
66,9.89,1,6.5,1,22.95,0,26.68,0,7.03,1
67,18.17,0,22.62,0,7.33,1,22.67,0,21.76,0
68,6.61,1,4.55,1,10.96,1,23.32,0,8.58,1
69,6.73,1,1.74,1,12.72,1,28.11,0,24.87,0
70,9.19,1,6.23,1,20.57,0,23.96,0,28.53,0
71,27.68,0,0.38,1,2.95,1,1.62,1,1.91,1
72,15.24,0,23.58,0,25.56,0,1.71,1,4.25,1
73,12.24,1,23.93,0,29.52,0,8.02,1,10.22,1
74,28.0,0,16.55,0,5.92,1,13.36,1,1.25,1
75,3.32,1,2.36,1,13.7,1,7.9,1,7.48,1
76,0.58,1,3.78,1,21.92,0,21.54,0,14.52,1
77,2.46,1,13.06,1,6.07,1,14.35,1,29.73,0
78,22.57,0,8.56,1,8.49,1,24.76,0,19.44,0
79,27.24,0,11.64,1,6.81,1,27.5,0,12.41,1
80,2.29,1,7.64,1,20.72,0,26.6,0,15.71,0
81,25.17,0,16.19,0,10.25,1,3.85,1,24.88,0
82,13.91,1,26.58,0,5.76,1,28.82,0,15.74,0
83,8.84,1,4.78,1,12.35,1,17.33,0,17.16,0
84,14.05,1,15.76,0,10.98,1,17.15,0,21.79,0
85,17.25,0,0.94,1,28.17,0,27.01,0,12.92,1
86,16.9,0,20.3,0,15.82,0,24.28,0,20.98,0
87,14.03,1,29.03,0,23.89,0,11.61,1,24.36,0
88,12.11,1,2.49,1,26.61,0,2.14,1,17.34,0
89,5.02,1,18.24,0,7.33,1,19.91,0,1.42,1
90,21.8,0,15.46,0,20.19,0,3.82,1,12.73,1
91,13.19,1,16.08,0,13.77,1,5.14,1,19.79,0
92,5.59,1,0.82,1,18.02,0,24.83,0,3.32,1
93,29.24,0,14.27,1,12.55,1,23.92,0,16.03,0
94,5.15,1,3.97,1,9.93,1,29.7,0,1.3,1
95,11.83,1,1.87,1,17.76,0,3.63,1,3.81,1
96,28.6,0,7.31,1,29.78,0,13.41,1,5.5,1
97,29.55,0,22.28,0,5.11,1,10.74,1,28.37,0
98,6.53,1,26.16,0,6.26,1,23.74,0,4.48,1
99,17.8,0,24.2,0,12.34,1,5.84,1,20.36,0
100,20.71,0,28.47,0,17.37,0,27.09,0,29.72,0
101,19.26,0,10.61,1,17.74,0,10.65,1,28.11,0
102,19.84,0,2.94,1,27.3,0,22.97,0,17.42,0
103,14.1,1,23.86,0,1.33,1,17.82,0,6.29,1
104,15.99,0,27.1,0,25.37,0,7.85,1,19.74,0
105,22.34,0,26.23,0,18.49,0,7.96,1,23.88,0
106,23.39,0,0.23,1,23.47,0,24.92,0,0.42,1
107,23.63,0,4.67,1,11.31,1,9.07,1,24.18,0
108,25.63,0,14.53,1,1.57,1,17.18,0,9.96,1
109,8.32,1,6.72,1,26.89,0,4.95,1,20.58,0
110,27.45,0,20.96,0,3.6,1,28.52,0,11.21,1
111,26.15,0,25.31,0,16.3,0,3.11,1,3.72,1
112,10.96,1,5.3,1,21.48,0,20.26,0,23.41,0
113,21.74,0,12.41,1,5.68,1,21.4,0,15.65,0
114,29.53,0,9.3,1,17.29,0,20.04,0,20.03,0
115,21.62,0,8.19,1,23.47,0,23.42,0,13.35,1
116,9.97,1,9.94,1,1.31,1,15.95,0,7.62,1
117,10.27,1,18.62,0,21.24,0,24.91,0,23.61,0
118,9.96,1,13.42,1,2.59,1,15.12,0,22.2,0
119,2.02,1,8.89,1,29.34,0,13.52,1,17.1,0
120,8.09,1,0.82,1,5.91,1,16.21,0,4.93,1
121,1.3,1,0.07,1,11.7,1,6.57,1,8.48,1
122,7.94,1,6.79,1,21.09,0,17.53,0,21.43,0
123,13.09,1,25.77,0,25.25,0,15.88,0,6.28,1
124,12.38,1,1.96,1,20.55,0,23.37,0,19.94,0
125,10.74,1,26.33,0,12.08,1,27.6,0,27.08,0
126,3.18,1,6.19,1,2.81,1,8.22,1,14.37,1
127,11.22,1,23.87,0,9.08,1,21.8,0,7.97,1
128,27.67,0,3.84,1,6.74,1,25.83,0,9.89,1
129,14.46,1,26.94,0,21.37,0,24.86,0,23.28,0
130,3.68,1,11.81,1,26.04,0,13.55,1,5.42,1
131,10.17,1,1.59,1,22.61,0,29.03,0,3.4,1
132,10.84,1,2.72,1,22.46,0,27.19,0,8.33,1
133,9.75,1,9.16,1,26.24,0,12.18,1,0.45,1
134,21.28,0,10.93,1,19.95,0,15.21,0,27.75,0
135,11.82,1,29.99,0,8.48,1,16.5,0,0.53,1
136,17.23,0,5.23,1,7.73,1,6.7,1,25.71,0
137,10.19,1,26.34,0,13.38,1,2.28,1,19.61,0
138,22.91,0,17.93,0,5.2,1,23.26,0,24.88,0
139,28.14,0,8.95,1,13.86,1,7.04,1,13.58,1
140,12.08,1,13.82,1,9.85,1,12.12,1,13.35,1
141,10.07,1,12.12,1,1.22,1,5.79,1,21.05,0
142,10.07,1,2.03,1,6.39,1,10.93,1,0.05,1
143,25.04,0,13.9,1,9.1,1,29.27,0,5.62,1
144,21.76,0,18.21,0,7.95,1,16.31,0,2.07,1
145,22.38,0,17.38,0,23.27,0,4.02,1,5.74,1
146,13.74,1,24.9,0,6.71,1,14.18,1,20.54,0
147,10.65,1,6.57,1,12.0,1,18.04,0,28.59,0
148,20.82,0,8.33,1,15.88,0,3.49,1,28.44,0
149,12.73,1,19.61,0,4.73,1,2.88,1,22.9,0
150,1.93,1,8.72,1,23.96,0,17.32,0,13.51,1
151,19.86,0,26.23,0,8.69,1,19.07,0,25.18,0
152,11.43,1,18.07,0,18.66,0,21.97,0,28.98,0
153,29.57,0,25.93,0,26.49,0,1.26,1,29.79,0
154,0.4,1,8.94,1,16.67,0,8.77,1,1.03,1
155,15.59,0,1.12,1,9.65,1,13.28,1,14.44,1
156,5.84,1,12.65,1,27.17,0,12.87,1,12.64,1
157,21.12,0,3.7,1,6.52,1,7.09,1,5.67,1
158,14.29,1,3.34,1,29.93,0,2.45,1,25.23,0
159,22.36,0,11.18,1,27.7,0,2.16,1,10.31,1
160,14.1,1,15.16,0,4.44,1,28.41,0,12.11,1
161,24.25,0,3.69,1,15.2,0,12.3,1,21.16,0
162,19.15,0,22.37,0,17.59,0,6.86,1,15.72,0
163,24.82,0,10.66,1,25.55,0,12.4,1,15.77,0
164,3.62,1,27.54,0,24.58,0,24.62,0,4.93,1
165,14.06,1,23.47,0,18.59,0,0.04,1,9.62,1
166,12.26,1,13.85,1,18.82,0,6.58,1,28.19,0
167,15.33,0,1.14,1,16.98,0,12.1,1,19.25,0
168,16.8,0,0.5,1,17.83,0,27.52,0,1.52,1
169,11.59,1,21.31,0,2.93,1,9.49,1,1.56,1
170,9.49,1,3.22,1,7.21,1,14.57,1,0.1,1
171,28.96,0,28.51,0,21.68,0,16.57,0,0.81,1
172,8.88,1,28.52,0,19.28,0,22.16,0,24.97,0
173,3.25,1,14.22,1,14.65,1,19.88,0,0.63,1
174,21.98,0,23.07,0,15.3,0,12.2,1,2.06,1
175,24.0,0,18.33,0,26.92,0,21.48,0,18.8,0
176,3.12,1,2.37,1,19.26,0,15.1,0,3.61,1
177,15.4,0,23.02,0,18.84,0,14.11,1,17.38,0
178,15.49,0,7.28,1,1.38,1,10.3,1,17.57,0
179,11.62,1,0.89,1,23.03,0,2.34,1,0.18,1
180,6.4,1,9.11,1,10.98,1,12.1,1,24.63,0
181,9.5,1,11.34,1,14.46,1,0.05,1,25.91,0
182,11.36,1,12.48,1,14.7,1,28.84,0,0.78,1
183,25.15,0,7.47,1,13.96,1,7.34,1,22.91,0
184,0.16,1,8.35,1,17.94,0,14.56,1,27.82,0
185,25.69,0,29.86,0,10.63,1,3.63,1,8.61,1
186,19.63,0,2.57,1,1.19,1,21.93,0,13.84,1
187,11.67,1,24.85,0,12.93,1,24.84,0,15.42,0
188,10.9,1,8.59,1,20.64,0,10.33,1,7.87,1
189,24.52,0,23.23,0,19.94,0,0.45,1,16.9,0
190,23.68,0,0.13,1,22.34,0,0.3,1,12.92,1
191,12.11,1,2.89,1,12.34,1,27.04,0,20.06,0
192,13.76,1,28.44,0,19.52,0,24.3,0,8.73,1
193,27.67,0,16.54,0,2.83,1,17.44,0,6.18,1
194,4.85,1,26.53,0,22.96,0,8.74,1,13.11,1
195,7.83,1,8.09,1,11.15,1,22.49,0,22.98,0
196,25.35,0,13.59,1,22.73,0,23.12,0,7.85,1
197,0.38,1,13.3,1,4.37,1,24.97,0,6.26,1
198,24.54,0,4.54,1,26.99,0,23.74,0,7.36,1
199,12.34,1,26.54,0,19.37,0,3.63,1,19.0,0
200,10.88,1,10.77,1,11.97,1,23.27,0,0.32,1
